"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","QualityOfLifeTotalScore","QualityOfLifeQualityOfLife","QualityOfLifeAffordability","QualityOfLifeEconomy","QualityOfLifeEducationAndHealth","QualityOfLifeSafety"
"46","South Dakota",12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,53.13,41,23,5,27,29
"47","Tennessee",173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,48.85,34,9,21,40,38
"48","Texas",116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,49,11,34,26,36,33
"49","Utah",41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,56.84,29,6,2,8,41
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,57.52,42,43,8,2,9
"51","Virginia",220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,58.73,20,16,23,15,11
"53","Washington",117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,52.11,9,37,4,14,48
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,46.84,45,2,44,44,20
"55","Wisconsin",109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,57.92,10,32,24,13,12
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,58,39,8,16,32,3
